sample,question,ground_truth,raw_prediction,prediction,correct,question_type
153,"Has a new paved road been constructed in the western half of the image, forming an L-shaped street within a residential development?",Yes,Yes,yes,True,Yes/No
154,"Has a sidewalk been constructed in the southwestern section of the image, running along the side of the curving road within the grassy area?",Yes,Yes,yes,True,Yes/No
155,"Is there a newly constructed body of water on the western edge of the lot, adjacent to the recent residential development?",Yes,Yes,yes,True,Yes/No
156,"In the upper left quadrant of the image, have the trees situated in the front yard of the house along the northern horizontal road grown significantly?",Yes,Yes,yes,True,Yes/No
157,Has a residential building been constructed in the bottom-left corner of the image?,Yes,No,no,False,Yes/No
158,"What change occurred at the site on the far western side of the developed area, which was previously open land?  **A)** A new building was constructed. **B)** A building was demolished. **C)** Trees were planted across the site. **D)** A parking lot was removed.",A,A,a,True,Multiple Choice
159,"Has a new building been constructed in the central-northern portion of the image, situated just above the horizontal road?",Yes,Yes,yes,True,Yes/No
160,"Comparing the two images, what change has occurred in the upper-middle portion of the area, where a residential house is now visible?  **A)** A new house was constructed on previously undeveloped land. **B)** An existing building was demolished to create an open space. **C)** The roof of an older building was replaced with new shingles. **D)** A commercial building was converted into a residential property.",A,A,a,True,Multiple Choice
161,"In the northwestern section of the residential area, has a segment of the sidewalk located at the corner of the cul-de-sac been removed?",Yes,Yes,yes,True,Yes/No
162,"Is there a newly constructed residential building in the southeastern portion of the image, where previously there was only undeveloped land?",Yes,Yes,yes,True,Yes/No
163,"Looking at the upper right area of the residential neighborhood, what change occurred to the segment of sidewalk located in front of the house on the east side of the road?  **A)** It was extended further down the street. **B)** It was widened into a small plaza. **C)** It was removed and a tree was planted in its place. **D)** It was painted with a crosswalk pattern.",C,C,c,True,Multiple Choice
164,"In the mid-western portion of the image, has a dense row of trees or shrubs been added along the northern boundary of the residential lot with the brown roof?",Yes,Yes,yes,True,Yes/No
165,"In the upper-right quadrant of the image, has a building been constructed on the eastern side of the newly developed street where there was previously undeveloped land?",Yes,Yes,yes,True,Yes/No
166,Has the tree located in the bottom-right corner of the image been removed and replaced by a paved road surface?,Yes,No,no,False,Yes/No
167,Has a new concrete sidewalk been constructed along the edge of the residential property in the southeastern corner of the area?,Yes,Yes,yes,True,Yes/No
168,"In the central and southern portions of the area, has a new network of paved roads been constructed on what was previously a large open field?",Yes,Yes,yes,True,Yes/No
169,"Has the building located on the western edge of the property, just south of the access road, been demolished?",Yes,Yes,yes,True,Yes/No
170,"Has a new swimming pool been constructed in the northwest part of the image, in an area that was previously occupied by a cluster of trees?",Yes,Yes,yes,True,Yes/No
171,"In the lower-left quadrant of the image, along the curve of the residential street, what change has occurred to the landscape?  **A)** A house was demolished to create an empty lot. **B)** A new residential building was constructed on previously vacant land. **C)** A park with several trees was established. **D)** A new road was paved through the center of the lot.",B,B,b,True,Multiple Choice
172,"In the center-left portion of the image, a curved road runs from the top toward the bottom. What change is observed regarding this road between the two images?  **A)** The road has been removed and replaced with landscaping. **B)** The road has been widened to include more lanes. **C)** The road has been newly paved. **D)** The road has been rerouted to a different location.",C,C,c,True,Multiple Choice
